,address,lat,lon,title
52,"No.6 Lane 27 Chengdu Road, Wanhua District, Taipei 108, Taiwan (Formerly Good Ground Hotel)",25.04291,121.50681,Hotel Puri
53,"2F., No.17, Lane 114, Section 1 Chunghua Road, Taipei 10843, Taiwan ",25.043793,121.50813,Via Hotel
54,"No.224 Cuang Ming Road, Beitou District, Taipei 112, Taiwan ",25.13603,121.50548,Sweetme Hotspring Resort
55,"No.18 Section 1, Chongqing South Road, Zhongzheng District, Taipei 100, Taiwan (Formerly Onestar Hotel)",25.04624,121.51313,Sun Rise Business Hotel - Taipei Main Station
56,"No.32 Zhongshan Road, Beitou District, Taipei 112, Taiwan ",25.137833,121.5105,Villa 32
57,"No.3 Nanjing West Road, Zhongshan District, Taipei 10444, Taiwan ",25.052748,121.52155,THE Tango Taipei NanShi
58,"No.399 Sec. 5, Nanjing East Road, Songshan Road, Taipei 105, Taiwan ",25.05149,121.56967,NK Hostel
59,"No.71 Section 1, Jinshan South Road, Taipei 10056, Taiwan ",25.037333,121.52817,Royal Biz Taipei
60,"3F, No.117 Linsen North Road, Taipei, Taiwan ",25.050667,121.52517,Just Sleep (Lin Sen)
61,"6F, No.90, Section 1, Zhonghua Road, Taipei, Taiwan ",25.044687,121.5088,Muzik Hotel Ximending - ZhongHua Branch
62,"No.111 Section 3, Minsheng East Road, Songshan Dist., Taipei 105, Taiwan ",25.058088,121.54586,The Sherwood Taipei
63,"No.8 Section1, Jinshan South Road, Jhongjheng District, Taipei, Taiwan ",25.04224,121.52951,Hotel Eight Zone
64,"No.295 Section 4, Xinyi Road, Da'an District, Taipei, Taiwan ",25.034733,121.54511,Taipei Charming City Hotel
65,"No.9 Lane 64 Sec. 2 Jianguo North Road, Taipei 104, Taiwan ",25.0543,121.5359,Beauty Hotels Taipei - Roumei Boutique
66,"No.41 Section 2, Fuxing South Road, Da'an District, Taipei, Taiwan ",25.03147,121.54363,Taipei Fullerton Funan
67,"B1, No.16, Sec. 5, Xinyi Road, Xinyi District, Taipei 11049, Taiwan ",25.032806,121.5633,Sparkle Hotel
68,"4F, No.83 Linsen North Road, Taipei 104, Taiwan ",25.04975,121.52476,Royal Inn Taipei Linsen
69,"No.81-1 Section 1 Da-An Road, Taipei, Taiwan ",25.04106,121.5461,Royal Palace Hotel
70,"No.80, Sec.1, Jinshan South Road, Taipei, Taiwan ",25.0364,121.52771,Citizen Hotel
71,"No.136 Section 1, Fushing South Road, Taipei, Taiwan ",25.04274,121.54369,Deja Vu Hotel
72,"No.18 You Ya Road, Beitou District, Taipei 112, Taiwan ",25.13754,121.51371,Spring City Resort
73,"F13, No.41, Section 1, Zhonghua Road, Zhongzheng District, Taipei 10042, Taiwan ",25.044924,121.50944,Green World Hotel Zhonghua
74,"4F., No.246, Sec. 2, Changan East Road, Taipei 104, Taiwan ",25.048325,121.540405,Horizon Inn
75,"No.178, Sec. 2, Minsheng E. Rd, Taipei, Taiwan ",25.05785,121.53621,Hotel Cozzi Minsheng Taipei
76,"11F., No.8 Guanqian Road, Zhongzheng District, Taipei 10047, Taiwan ",25.045801,121.51484,Hotel Relax I
77,"No.14 Lane 38, Tianyu Street, Shilin District, Taipei 111, Taiwan ",25.12038,121.52927,Beauty Hotels Taipei - Beautique
78,"No.49 Section 3, Chengde Road, Taipei 103, Taiwan ",25.06487,121.51844,Santos Hotel
