,address,lat,lon,title
54,"No.224 Cuang Ming Road, Beitou District, Taipei 112, Taiwan ",25.13603,121.50548,Sweetme Hotspring Resort
56,"No.32 Zhongshan Road, Beitou District, Taipei 112, Taiwan ",25.137833,121.5105,Villa 32
57,"No.3 Nanjing West Road, Zhongshan District, Taipei 10444, Taiwan ",25.052748,121.52155,THE Tango Taipei NanShi
65,"No.9 Lane 64 Sec. 2 Jianguo North Road, Taipei 104, Taiwan ",25.0543,121.5359,Beauty Hotels Taipei - Roumei Boutique
67,"B1, No.16, Sec. 5, Xinyi Road, Xinyi District, Taipei 11049, Taiwan ",25.032806,121.5633,Sparkle Hotel
68,"4F, No.83 Linsen North Road, Taipei 104, Taiwan ",25.04975,121.52476,Royal Inn Taipei Linsen
72,"No.18 You Ya Road, Beitou District, Taipei 112, Taiwan ",25.13754,121.51371,Spring City Resort
74,"4F., No.246, Sec. 2, Changan East Road, Taipei 104, Taiwan ",25.048325,121.540405,Horizon Inn
79,"No.240 Guangming Road, Beitou District, Taipei 112, Taiwan ",25.13626,121.50733,Golden Hot Spring Hotel
81,"No.7, Sec 2, Jianguo North Road, Taipei 10487, Taiwan ",25.05272,121.53703,Capital Hotel
83,"No.52 Section 1, Jianguo North Road, Taipei 104, Taiwan ",25.04794,121.53625,Beauty Hotels Taipei - Hsuanmei Boutique
89,"No.15 Lane 83, Section1, Chungshan North Road, Taipei 10446, Taiwan ",25.04994,121.52433,THE Tango Taipei LinSen
91,"No.80 Linsen North Road, Zhongshan District, Taipei 10441, Taiwan ",25.049465,121.524605,THE Tango Taipei ChangAn
104,"No.1 Yinguang Lane, Wenquan Road, Peitou District, Taipei 111243, Taiwan (Formerly Lotus Spa Hot Spring Hotel)",25.1366,121.51303,Nine Plus Spa Hot Spring Hotel
117,"No.3 Yijiang Street, Jhongshan District, Taipei 104, Taiwan (Formerly Viscount Hotel)",25.050962,121.53149,Forward Hotel - Songjiang
118,"B1-F12, No.8 Minsheng West Road, Chung Shan, Taipei 104, Taiwan ",25.05783,121.52226,Shin Shih Hotel
119,"No.477 Linsen North Road, Jhongshan District, Taipei 104, Taiwan ",25.06112,121.52572,Hotel Sense
123,"6F., No.62 Changchun Road, Zhongshan District, Taipei 104, Taiwan ",25.05493,121.52626,Beauty Hotels Taipei - Hotel Bnight
131,"No.25 Section 2, Xinsheng North Road, Zhongshan District, Taipei 104, Taiwan ",25.053652,121.52775,Beauty Hotels Taipei - Hotel Bchic
137,"No.369 Linsen North Road, Zhongshan District, Taipei 104, Taiwan ",25.05774,121.52554,Gloria Prince Hotel Taipei
141,"No.299 Zhifu Road, Zhongshan District, Taipei 104, Taiwan ",25.0809,121.56158,Mulan Motel Taipei
145,"No.168 Jingye Fourth Road, Taipei 104, Taiwan ",25.084333,121.5585,Grand Victoria Hotel
154,"No.9 Section 1, Min-Chuan East Road, Taipei 104, Taiwan ",25.062944,121.52334,Sunroute Hotel
173,"No.24 Lane 170 Dehuei Street, Jhongshan District, Taipei 104, Taiwan (Formerly Aristocrat Hotel)",25.06506,121.53179,The Metro Hotel
175,"No.14, Lane 56, Section 3, Xinsheng North Road, Zhongshan District, Taipei 104, Taiwan ",25.06536,121.52685,Taipei Lotty Hotel
176,"No.66 Nanking East Road, Section1, Taipei 104, Taiwan ",25.05207,121.52508,Taipei International Hotel
181,"No.17-3 Lane 77, Section 2, Chungshan North Road, Taipei 104, Taiwan (Formerly Golden Time Hotel)",25.057611,121.52377,Wish Hotel
183,"No.163 Section 2, Nanjing East Road, Taipei 104, Taiwan ",25.05224,121.53597,MAI HOTEL-Nanjin E.Branch
184,"No.23-1 Shuang Cheng Street, Zhongshan District, Taipei 104, Taiwan ",25.06586,121.52431,Friends Yo Lai Regency
185,"No.15 Lane 105, Sec. 1, Zhongshan North Road, Taipei 10446, Taiwan ",25.050827,121.52359,Mai Hotel Zhongshan
191,"No.338 Fuxing N. Rd., Zhongshan District, Taipei 104, Taiwan ",25.059544,121.544,"Cityinn Hotel Plus - Fuxing N. Rd., Branch"
194,"3F., No.246, Sec.2, Changan E. Rd., Taipei 10492, Taiwan ",25.04817,121.54311,Ark Hotel - Chang'an Fuxing
199,"No.57-1 Section 2, Zhongshan North Road, Taipei 10412, Taiwan ",25.055792,121.52299,amba Taipei Zhongshan
202,"No.98 Yanchang Road, Xinyi District, Taipei 11072, Taiwan ",25.044977,121.5615,Eslite Hotel
